ids,aq,eq,sq,rmet,faceAmplitudeRight,baselineAmplitudeRight,faceAmplitudeLeft,baselineAmplitudeLeft,faceSNRRight,baselineSNRRight,faceSNRLeft,baselineSNRLeft,ratioRight,ratioLeft,faceLateral,baselineLateral,hemisphereCoherenceFace,hemisphereCoherenceBase,occipitalToRight,occipitalToLeft
subject  1,32,32,60,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subject  2,23,30,87,23,0.399238348208198,2.84749445729806,0.459893650475155,1.50212204525281,0.846259257318411,30.3282388146469,1.15435297814254,19.1835229766897,-0.945708235278409,-0.88648244480336,-0.153999718367784,0.225092289887112,0.477946696637868,0.662697027705521,0.800272477412186,0.734619434013744
subject  3,23,34,61,33,0.699946829215624,0.265023764188816,0.392793768044922,0.261674189056542,0.861064890920142,2.17484996824555,0.766088579879188,4.13570808631051,-0.432747668584637,-0.687425394381082,0.058369608488312,-0.310726579347332,0.523962934139845,0.402962294317753,0.464945590788113,0.51549404419017
subject  4,28,18,104,28,0.357204425138413,0.214445555814131,0.756507699569207,0.135738951686369,1.02880752990239,1.65706571525291,1.28562883310091,1.41224040364117,-0.233912075517247,-0.0469302102622125,-0.110964944771807,0.0797656871384169,0.499417716478473,0.378313224341059,0.573215046606126,0.558159702206446
subject  5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subject  6,23,35,128,33,0.371409676791629,1.39753210508597,0.598535428205109,0.453229148738298,0.796221214942294,6.19405622844511,0.665818649306271,1.33338249225166,-0.772191813160293,-0.333915296999665,0.0891922093403693,0.645727440175499,0.489571348312627,0.418236740601172,0.743197639747602,0.571308102453112
subject  7,13,60,43,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subject  8,14,32,55,24,0.546033353384806,2.66289056536262,0.638048622889976,0.657613179121477,1.22123962557725,24.5467573947262,1.1639929382861,6.45177091368976,-0.905212684973924,-0.694320107369372,0.0240004635851641,0.583736953606399,0.458764898035102,0.536789957574071,0.536599492514462,0.614386469066409
subject  9,14,41,61,32,0.275861903436481,0.410630217008792,0.306978283148184,0.641032238941174,0.920223764984791,5.27811127567218,0.930139762629755,6.27357381447525,-0.703073887116869,-0.741761036811362,-0.00535894568660621,-0.0861746603231166,0.53669189631476,0.552616006238181,0.515115194102408,0.569241266092221
subject 10,8,55,49,30,0.286266282854273,0.32681516229111,0.378181198074045,1.12395803673062,1.00664159078459,4.53217111851948,0.940306683069621,17.5416422067347,-0.636513583825055,-0.898245938382792,0.0340712224386152,-0.589362195671526,0.483834252774512,0.616866070432767,0.717304246532186,0.608796022026465
subject 11,30,47,57,30,1.18492142061112,3.5165910947884,0.488787086212714,0.411980355536335,0.869908046747119,14.0844070555936,0.679719642949579,2.8349973307045,-0.883657922038709,-0.613215147595279,0.122731676171045,0.664882135803743,0.407790073724859,0.395823261351702,0.643791178941132,0.591309886294894
subject 12,17,33,50,21,0.39419717616241,0.445985987235282,0.496360344989197,0.619267165853733,1.01502363791385,6.97207586076542,0.942237395663373,9.38175839653088,-0.745834232293791,-0.817466528536213,0.0371878053064008,-0.147346640418003,0.614069648307566,0.70904135272459,0.645279512910796,0.765675180585022
subject 13,14,48,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subject 14,16,30,65,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subject 15,19,46,68,23,0.551291982266613,0.669152227193273,0.338205289613466,0.670812532033062,1.14357636072176,6.58913776233923,0.636367264478258,7.32716635181612,-0.704223810030345,-0.84017967521951,0.284957955444519,-0.0530333760618366,0.518308467239317,0.681450376733275,0.603525340633047,0.721918105017808
subject 16,17,44,73,32,0.946771413539108,1.05873582924421,0.573444136354593,0.209625875516018,0.893926493319514,5.6347990305412,0.848757735882217,1.65860964647059,-0.726155896720591,-0.322988931055027,0.0259190716713993,0.545175727860036,0.660204829289166,0.438090191612057,0.553062590140979,0.536795196886672
subject 17,16,35,97,28,0.549960634054172,1.15767993688769,0.337471107402203,0.816795036183683,1.16737000839882,5.75416808805927,0.885486940683905,4.61200366463033,-0.662684798629892,-0.677857770296893,0.137312572043008,0.110181892667618,0.489216776307351,0.497249690733537,0.643174772889523,0.463473082803034
subject 18,16,47,96,20,0.919004632046753,4.86529671020883,0.525790064036485,1.73957384432267,1.39442805671443,28.4164169197909,1.20098221367118,21.2433452433408,-0.906448270230957,-0.892981225125017,0.0745338204331434,0.14444434213935,0.563033581222399,0.784809794072129,0.720228142096885,0.836214472594544
subject 19,6,56,56,24,1.70385823872782,0.757571659683178,1.92908161982454,1.71386593432694,1.48373875174934,3.07339927313185,1.02197787573575,6.00212019637514,-0.348828697463899,-0.709008084669687,0.184282959592697,-0.322705596421621,0.391417731490713,0.491296589615181,0.551118275239206,0.636964152806845
subject 20,37,9,44,NaN,0.284489451546135,0.942074737933355,0.578571999531552,1.05418603685997,0.938060251032304,7.65867523093905,0.856788931664975,6.09160705170121,-0.781763611780412,-0.753385116877032,0.0452803055269501,0.113966255166723,0.479238599761054,0.580920592230765,0.569423651681142,0.63006907398173
subject 21,13,36,53,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subject 22,19,52,65,29,0.324155974391654,1.35747859953599,0.277471996103759,0.656543383464838,0.944087069861169,10.1758474084593,0.80975671838655,5.76112996447206,-0.830199166784342,-0.753531979025311,0.0765919703765807,0.277010962661311,0.581927132563359,0.595693573777652,0.697138307308567,0.637284753377757
subject 23,10,44,45,24,0.511173665373404,0.392239313060584,0.360946843726144,0.183627629961042,0.585984844211733,2.34227796833246,0.813038090738088,1.51070818268705,-0.599773051994192,-0.300235055749274,-0.162294156052916,0.215824753334599,0.457173497128882,0.294034664807444,0.318177016198974,0.392355645128682
subject 24,20,26,36,28,0.427979271462919,0.728903919030914,0.556089016873281,0.521813361790856,0.848700173207804,7.97064536093142,0.888364444864827,6.59427757920052,-0.807536699878119,-0.762553268749806,-0.022834079541055,0.0944988028696311,0.40127153012362,0.715241673237382,0.663368158426415,0.684883283779469
subject 25,16,41,51,32,1.54155069544275,16.234310382105,0.752042040585604,2.96102547846553,0.975678218411287,28.4135365119304,0.994637437780222,7.60731002219971,-0.933602974603878,-0.768741336213058,-0.00962242740616598,0.577616255354148,0.469362994252105,0.67163300549516,0.735415907701464,0.655033742862147
subject 26,9,34,29,25,0.336757496937052,0.421522313308092,0.245717718281064,2.49856328266788,0.908131657355643,6.06727030085104,0.98866150295125,31.9533364827332,-0.739618831202348,-0.939975619974181,-0.0424557865774766,-0.680843057798297,0.579023423411781,0.690449209998529,0.667635874874914,0.687286981932614
subject 27,8,57,20,NaN,0.431592911866984,1.58955615596982,0.485144161826648,0.775270788396556,0.851195982907554,13.0289686092155,1.23755744996698,7.47741299885442,-0.877350736404004,-0.715992737500481,-0.184972271489086,0.27072331513505,0.567199518626904,0.884747360539675,0.919610182537615,0.905483261974688
subject 28,15,57,53,31,1.03138032902881,0.523204187212236,1.26453885023273,0.164713646388664,0.935500565119982,3.54228915750713,0.955636442327838,0.898623292642904,-0.58215967114636,0.0307471216732397,-0.0106474978431262,0.595297902073011,0.726949004165521,0.363293746904741,0.668736491681615,0.329422811869263
subject 29,14,31,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subject 30,11,51,66,36,0.275998763994829,0.898407890528438,0.410153537182127,1.97935539426958,0.823648943940082,9.93441847383746,0.720299065694834,15.300404003418,-0.846877898798252,-0.910078969370135,0.0669387036352908,-0.212642095438436,0.424245551761453,0.718691330665593,0.650651381116068,0.688961337117414
subject 31,NaN,NaN,NaN,NaN,0.608416765014563,0.384775653593465,0.508828804781857,0.147404266022758,0.820199676097436,3.57581017461017,0.849027876570354,1.47830370828108,-0.626843567711563,-0.270385120799576,-0.0172703837932965,0.415009735619411,0.692394727265327,0.364717929785449,0.48530546107802,0.55888434934114
subject 32,19,28,45,NaN,0.385704186631291,2.01421666329054,0.601719499578604,1.47054953955204,0.850858266990909,14.1906450125871,0.589502241240718,9.242226651531,-0.886865261912202,-0.880081672782064,0.181451813109667,0.211174218507477,0.580282080535582,0.689431288298703,0.721430645818685,0.708027933738372
subject 33,12,54,26,29,0.597641343173463,3.17313386613062,0.464501566059489,0.410981927203735,0.8166551263245,18.8909495518816,0.679448458727118,2.85069021595751,-0.917122842713847,-0.615058488438663,0.0917093368188465,0.73776676953554,0.44820572213033,0.639510829527969,0.852364332443742,0.657465576331612
subject 34,27,28,68,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
subject 35,13,19,35,26,0.298751425571305,1.3215987601909,0.406360657913344,0.322876543806278,0.848681348193306,15.4219823503731,0.799652386902823,4.24839553956317,-0.895679566130042,-0.683183520223573,0.029744559761512,0.568041288953911,0.479337877461628,0.797760739877056,0.793461772333832,0.745747091170788
subject 36,18,38,52,28,0.199502397457268,1.80549227705293,0.698261016898573,1.82144420878344,0.614944674725496,19.8232241912153,0.802642265433952,14.0992441213463,-0.93982389726212,-0.892276421306501,-0.13240640513191,0.168737133663986,0.412909837323604,0.689157646890344,0.755934171769244,0.74893402832411
