id,2.4hz snr,6hz snr,2.4hz amp,6hz amp,aq,eq,outlier
AA female 20.bdf,0.9415,0.1527,283.0359,3.9474,32,32,
ADW male 19.bdf,5.4686,21.7798,2.4586,3.9318,23,30,
CAB male 22.bdf,2.0447,4.5903,0.7374,1.0207,23,35,
CJR male 21.bdf,1.9396,11.6883,0.7786,1.501,14,32,
CMG male 21.bdf,2.4146,21.0909,0.7606,2.4959,14,41,
EJB male 21.bdf,2.8462,21.3929,1.0485,2.6436,30,47,
GBS male 71.bdf,1.8534,1.1761,0.1149,0.0262,16,30,
GM male 18.bdf,2.4617,26.4293,0.8177,4.0526,19,46,
KC male 27.bdf,1.7427,20.1925,0.5637,5.0743,,,
KS male 22.bdf,1.3145,1.5142,0.3056,0.2736,10,44,
MZJ female 21.bdf,2.2665,2.6675,0.518,0.1561,,,
SA male 21.bdf,1.3436,3.012,2.3345,1.1869,,,
SJT male 20.bdf,1.9734,6.2403,0.6552,0.5874,13,19,
T.W.S. male 17.bdf,2.4395,23.5812,0.5449,2.3932,18,38,
